fiscal_year,detention_center_type,deaths_n
2004,Private,10
2004,Public,19
2005,Private,8
2005,Public,12
2006,Private,7
2006,Public,12
2007,Private,7
2007,Public,4
2007,NA,1
2008,Private,6
2008,Public,5
2009,Private,10
2009,Public,4
2010,Private,1
2010,Public,7
2011,Private,5
2011,Public,5
2012,Private,6
2012,Public,2
2013,Private,8
2013,Public,1
2014,Private,4
2014,Public,2
2015,Private,6
2015,Public,1
2016,Private,7
2016,Public,3
2017,Private,10
2017,Public,2
2018,Private,10
2019,Private,4
2019,Public,4
2020,Private,17
2020,Public,4
2021,Private,4
2021,Public,1
2022,Private,3
2023,Private,4
2024,Private,11
2024,Public,1
2025,Private,16
2025,Public,6
2025,NA,2
2026,Private,20
2026,Public,5
