calendar_year,detention_center_state,deaths_n
2003,CA,2
2003,SC,1
2004,AL,1
2004,AZ,1
2004,CA,3
2004,FL,2
2004,IL,1
2004,IN,1
2004,LA,1
2004,MA,1
2004,MD,1
2004,MN,1
2004,MO,2
2004,NJ,1
2004,PA,3
2004,PR,1
2004,SC,4
2004,TX,5
2004,VA,3
2005,AZ,3
2005,CA,3
2005,GA,1
2005,IL,1
2005,LA,1
2005,MO,1
2005,NC,3
2005,NJ,2
2005,SC,1
2005,TX,3
2005,VA,1
2006,AZ,2
2006,CA,5
2006,LA,1
2006,MA,2
2006,MN,1
2006,MO,2
2006,NM,1
2006,TX,2
2006,VA,1
2006,WA,1
2007,AZ,1
2007,CA,2
2007,NJ,2
2007,RI,1
2007,TX,2
2008,AL,1
2008,AZ,3
2008,CA,1
2008,FL,1
2008,GA,1
2008,LA,2
2008,MA,1
2008,MO,1
2008,NJ,1
2008,NM,1
2008,RI,1
2008,TX,1
2008,VA,1
2009,CA,1
2009,FL,1
2009,GA,1
2009,LA,2
2009,MA,1
2009,PA,1
2009,SC,2
2009,TX,1
2010,CA,1
2010,FL,1
2010,IL,1
2010,LA,3
2010,NC,1
2010,PA,1
2010,SC,1
2011,AZ,1
2011,CA,1
2011,GA,1
2011,NJ,1
2011,NY,1
2011,PA,1
2011,TX,3
2011,UT,1
2011,VA,1
2012,AZ,1
2012,CA,2
2012,CO,1
2012,NV,1
2013,AZ,2
2013,IL,1
2013,PA,1
2013,PR,1
2013,TX,4
2014,CA,1
2014,TX,4
2014,UT,1
2015,AZ,2
2015,CA,2
2015,CO,1
2015,TX,2
2016,AZ,1
2016,CA,1
2016,FL,1
2016,GA,1
2016,LA,3
2016,NJ,1
2016,NM,1
2016,NY,1
2016,TX,2
2017,CA,3
2017,CO,1
2017,FL,1
2017,GA,2
2017,LA,1
2017,NJ,1
2017,TX,1
2018,AZ,1
2018,CA,1
2018,FL,3
2018,GA,2
2018,IL,1
2018,NM,1
2018,TX,2
2018,WA,1
2019,AZ,2
2019,CA,1
2019,GA,1
2019,IL,1
2019,LA,1
2019,MD,1
2019,NM,1
2019,TX,1
2020,CA,2
2020,FL,4
2020,GA,3
2020,LA,2
2020,MS,1
2020,OH,1
2020,TX,4
2020,VA,1
2021,GA,1
2021,MI,1
2021,MS,1
2021,TX,2
2022,AZ,1
2022,CO,1
2022,NM,1
2023,CA,1
2023,FL,1
2023,GA,1
2023,LA,1
2023,PA,1
2023,TX,2
2024,FL,1
2024,GA,2
2024,LA,1
2024,MI,1
2024,NM,1
2024,TX,3
2024,WA,2
2025,AZ,3
2025,CA,3
2025,FL,5
2025,GA,2
2025,IL,1
2025,MI,1
2025,MO,2
2025,MS,1
2025,NJ,1
2025,NY,1
2025,PA,2
2025,TX,8
2025,NA,2
2026,AZ,1
2026,CA,3
2026,FL,2
2026,GA,1
2026,IN,1
2026,LA,1
2026,PA,1
2026,TX,4
